Label,theta_0,theta_1,theta_2,theta_3,max_auto_corr,avg_auto_corr,max_cross_corr,avg_cross_corr,avg_merit_factor
1,2.834851556795389,2.3760970454040966,1.9173424427434307,1.4585878790484064,0.7499999999999996,(1.7499999999999982+0j),0.3535533998393545,(0.4166666666666673+0j),(0.5714285714285721+0j)
1,2.834851556795389,2.3760970454040966,1.9173424427434307,1.4585878790484064,0.7499999999999996,(1.7499999999999982+0j),0.3535533998393545,(0.4166666666666673+0j),(0.5714285714285721+0j)
1,1.5595757003105688,1.7838044447437205,2.0080328654479813,2.2322623597738356,0.7499999999999243,(1.7499999999997025+0j),0.3535535231568028,(0.4166666666667659+0j),(0.5714285714286685+0j)
1,1.5595757003105688,1.7838044447437205,2.0080328654479813,2.2322623597738356,0.7499999999999243,(1.7499999999997025+0j),0.3535535231568028,(0.4166666666667659+0j),(0.5714285714286685+0j)
1,1.9044209762543294,2.0709637044057074,2.237502261802564,2.4040391281358007,0.7499999999977243,(1.749999999988878+0j),0.35355442682459476,(0.41666666667037405+0j),(0.5714285714322032+0j)
average,2.138655098093249,2.0781533369402685,2.0176505756370777,1.9571479211560572
2,1.1700199839542669,1.814463519695196,2.458898982984278,3.1033458423801155,0.7499999999914132,(1.7499999999728588+0j),0.3535539781375166,(0.4166666666757137+0j),(0.5714285714374339+0j)
2,1.1700199839542669,1.814463519695196,2.458898982984278,3.1033458423801155,0.7499999999914132,(1.7499999999728588+0j),0.3535539781375166,(0.4166666666757137+0j),(0.5714285714374339+0j)
2,0.0,3.141592653589793,0.0,3.141592653589793,0.75,(1.75+0j),0.3535533905932738,(0.41666666666666663+0j),(0.5714285714285714+0j)
2,0.0,3.141592653589793,0.0,3.141592653589793,0.75,(1.75+0j),0.3535533905932738,(0.41666666666666663+0j),(0.5714285714285714+0j)
average,0.5850099919771334,2.4780280866424946,1.229449491492139,3.122469247984954
0,3.141592653589793,0.0,3.141592653589793,0.0,0.75,(1.75+0j),0.3535533905932738,(0.41666666666666663+0j),(0.5714285714285714+0j)
average,3.141592653589793,0.0,3.141592653589793,0.0
