Label,theta_0,theta_1,max_auto_corr,avg_auto_corr,max_cross_corr,avg_cross_corr,avg_merit_factor
0,1.2877511696451474,1.1751676821337285,0.49999999999999994,(0.49999999999999994+0j),0.49999999999999994,(0.49999999999999994+0j),(2+0j)
0,2.4514530585665635,1.1513541828515097,0.49999999999999994,(0.49999999999999994+0j),0.49999999999999994,(0.49999999999999994+0j),(2+0j)
0,1.2877511696451474,1.1751676821337285,0.49999999999999994,(0.49999999999999994+0j),0.49999999999999994,(0.49999999999999994+0j),(2+0j)
0,2.4514530585665635,1.1513541828515097,0.49999999999999994,(0.49999999999999994+0j),0.49999999999999994,(0.49999999999999994+0j),(2+0j)
0,0.004535873441084344,2.030948457727008,0.5,(0.5+0j),0.5,(0.5+0j),(2+0j)
0,1.9015636180386701,1.2439549122141724,0.5,(0.49999999999999994+0j),0.5,(0.49999999999999994+0j),(2+0j)
0,0.004535873441084344,2.030948457727008,0.5,(0.5+0j),0.5,(0.5+0j),(2+0j)
0,1.9015636180386701,1.2439549122141724,0.5,(0.49999999999999994+0j),0.5,(0.49999999999999994+0j),(2+0j)
0,2.5547188463777823,2.4465413055144247,0.5,(0.49999999999999994+0j),0.5,(0.49999999999999994+0j),(2+0j)
0,1.798142542414298,3.026227371401896,0.5,(0.4999999999999999+0j),0.5,(0.4999999999999999+0j),(2+0j)
average,1.5643468828175011,1.6675619146769158
